,vm_pu,va_degree,p_mw,q_mvar
0,1.0,28.07863686229831,159.0786375536507,0.0
2,1.0,0.0,699.9999888185064,0.0
4,1.0,22.12935579078255,29.456702748068665,0.0
12,1.0,26.018775720349083,-0.0,0.0
14,1.0,22.90689462007064,3.1340858056844456,1.2230926587038666
16,1.0,12.606273826279866,2.8294761099118104,1.257459051990293
18,1.0,22.466927334947595,-2.616393385179209,1.2398088898176356
20,1.0,22.739320664912874,-17.506967432100264,1.2414706702023905
22,1.0,23.144163881309044,-6.4276525440440295,1.1572566459518954
24,1.0,12.560617745210651,8.877662262540667,14.102419388418447
26,1.0,30.943478143649813,-149.06,0.0
28,1.0,14.988656540406325,-13.752254495484038,6.445967177631432
30,1.0,17.902126441847333,-124.25585004071286,12.333418400881708
32,1.0,15.367714867692035,-33.53405549284963,1.196409656760996
34,1.0,18.907299716387598,0.0,0.0
36,1.0,12.293905289991384,33.594344268073485,20.03200804124808
38,1.0,23.207551956474063,-16.19999999999999,0.0
40,1.0,18.50045612632255,-20.307866878870016,6.332712289048715
42,1.0,21.05861505329532,-22.064166167632038,1.1947544934550816
44,1.0,32.59573967740659,-123.42263878274127,1.2314977596780161
46,1.0,17.804338408666425,3.1445647042818337,1.1722885019625764
48,1.0,28.683964363767853,0.0,0.0
50,1.0,28.440523114847952,3.2757476497151856,1.1648545508059862
52,1.0,26.618370527747274,-14.8718396072573,7.201696987048192
54,1.0,26.354386211027148,-6.560000000000002,0.0
56,1.0,21.343034314045426,0.0,0.0
58,1.0,15.02763001648349,37.639800773877084,20.595429374869322
60,1.0,17.15215215825694,-44.59885778764806,7.434839137010472
62,1.0,31.111133402393403,-4.621906973434818,1.238688794030066
64,1.0,15.685176877889242,-14.220228160390604,1.1655529433596183
66,1.0,21.41952997599438,-2.4177603958929694,20.325679114145746
68,1.0,18.441215659278086,-18.279999999999973,0.0
70,1.0,18.831473797801653,3.0974359728010086,1.1708639594864128
72,1.0,12.74293218307797,2.7044597687379337,1.2000169156384175
74,1.0,28.683964363767853,3.0377228462645007,1.1994862192485551
76,1.0,24.033066742681466,-51.69620195516768,7.469530020156888
78,1.0,17.15215215825694,0.0,0.0
80,1.0,22.619105817336912,-32.233843299807745,6.8571145193879985
82,1.0,14.896882036073897,-8.17999999999995,0.0
84,1.0,22.93167558215012,-6.704694353462287,1.0852444553336773
86,1.0,12.349753947297827,-13.498740020940886,7.489317606095884
88,1.0,12.604145970310176,-2.284911903598868,1.1565089232481613
90,1.0,22.674204200261816,-2.6320290430893465,1.1935151066408458
92,1.0,23.11259764493982,-5.569656154778045,1.2836685624357504
94,1.0,31.629663421498318,-34.37294907193052,1.232309130558552
96,1.0,24.334868192268925,-52.64999999999998,0.0
98,1.0,22.118042043895716,-3.562965639160552,1.1976487703681737
100,1.0,15.673771315946304,6.577787146634819,13.07202842724659
102,1.0,22.79104655902379,-3.6157709511362555,1.1062559696429584
104,1.0,31.51482591211411,6.578086806540114,11.436685237939908
106,1.0,28.46361136069223,3.1602579827755335,1.1604294542859561
108,1.0,12.60071787357528,2.7778244185153653,1.1063097473061598
110,1.0,18.66435107008976,-12.390698530121426,1.2151406809959555
112,1.0,20.21485919091015,-21.610216805399205,6.734097177958798
114,1.0,22.472997978878265,-5.801295958258152,1.279955075231263
116,1.0,23.220358220464995,-50.94301170710628,1.1754158486316657
118,1.0,12.618614985303862,-8.026977997332096,1.0943789108331132
120,1.0,23.15503783198787,-5.273086014253181,1.1929656515743128
122,1.0,21.95558451567862,3.011802410144128,1.18907370732384
124,1.0,22.822517512723074,-3.2380498268726114,1.2096971654055646
126,1.0,20.229960878588134,-14.003611440240775,1.1672535304269023
128,1.0,17.222709377642516,-8.830155513492969,1.2640926912199517
130,1.0,31.50491731665556,-19.753270853805134,1.122351810581018
132,1.0,23.205050344489354,-10.385812862532589,1.2390291313652408
0,1.0999790739870807,21.23995406172628,177.4031309757899,-32.34139204161794
2,1.0919999999723367,0.0,687.4828700347334,-333.90357646687437
4,1.0999999872443071,20.567900438977777,-19.999949092757447,-76.26102513124448
12,1.0670589520548857,20.74365445176308,-0.0,-0.0
14,1.0842228083890844,20.701163975278035,3.1340858056844456,1.2230926587038666
16,1.0179174650241036,11.274721536332851,2.8294761099118104,1.257459051990293
18,1.0861232963082263,20.384699919407293,-2.616393385179209,1.2398088898176356
20,1.0854428199147124,20.58105659198919,-17.506967432100264,1.24147067020239
22,1.083615629267263,20.868224230903966,-6.4276525440440295,1.157256645951895
24,1.0149580899037247,11.292080798489032,8.877662262540667,14.102419388418449
26,1.092573684512352,23.906715097513455,-149.06,0.0
28,1.029817211155387,13.558497136440224,-13.752254495484038,6.445967177631431
30,1.030281385475389,16.01649996928685,-124.25585004071286,12.333418400881712
32,1.0217828733962058,13.80109748207256,-33.53405549284963,1.1964096567609985
34,1.038007418757368,15.814755925332536,0.0,0.0
36,1.0106026787879727,11.150083938766448,33.594344268073485,20.032008041248083
38,1.0627328978992154,20.759993642362083,-16.19999999999999,0.0
40,1.0533161795040624,16.82756902554929,-20.307866878870016,6.332712289048715
42,1.0735916357500368,19.129719823681604,-22.064166167632038,1.1947544934550791
44,1.0999999758562031,25.133612843007178,-123.42263878274127,1.231497759678021
46,1.0293613655581977,15.943203210737925,3.1445647042818337,1.1722885019625693
48,1.0806560373725451,22.462469384576583,0.0,0.0
50,1.0791870099994985,22.307304955121253,3.2757476497151856,1.164854550805984
52,1.0669452842265126,21.271619160299394,-14.8718396072573,7.201696987048194
54,1.067333426074539,21.03228352103988,-6.560000000000002,0.0
56,1.0473267437329568,17.528243482099413,0.0,0.0
58,1.0200706871897767,13.510659294543304,37.639800773877084,20.595429374869326
60,1.0273680900232118,15.369412142205748,-44.59885778764806,7.434839137010471
62,1.0930478802782497,24.037847576801997,-4.621906973434818,1.2386887940300682
64,1.0252181220343979,14.155547013288675,-14.220228160390604,1.1655529433596143
66,1.0512608231274705,19.32240151816245,-2.4177603958929694,20.325679114145757
68,1.03656259450758,16.639609831404293,-18.279999999999973,0.0
70,1.0377282030396635,15.761013081462314,3.0974359728010086,1.170863959486411
72,1.0182826231158502,11.374647802006658,2.7044597687379337,1.2000169156384288
74,1.0805915748998927,22.463733807021207,3.0377228462645007,1.1994862192485414
76,1.0910497253022116,21.605803423482012,-51.69620195516768,7.4695300201568955
78,1.0273803709118772,15.369158775749277,0.0,0.0
80,1.0864557674932414,20.507122684103898,-32.233843299807745,6.857114519388006
82,1.0299460573682926,13.469345036015284,-8.17999999999995,0.0
84,1.0844784233466866,20.717244488650504,-6.704694353462287,1.0852444553336795
86,1.0113662174681364,11.161655159671609,-13.498740020940886,7.489317606095881
88,1.0162435772918879,11.307471660638464,-2.284911903598868,1.1565089232481682
90,1.086468849665912,20.55353822340605,-2.6320290430893465,1.1935151066408594
92,1.0835265040477924,20.84308483278518,-5.569656154778045,1.2836685624357642
94,1.0951856200338903,24.426463443894608,-34.37294907193052,1.2323091305585478
96,1.0686816272091992,21.63152913540122,-52.64999999999998,0.0
