,vm_pu,va_degree,p_mw,q_mvar
0,1.0,0.0,103.15226401585635,0.0
5,1.0,0.7343891807117204,1.0668241252834898,0.37447543225917646
11,1.0,0.7880779992195118,0.9966754682582923,0.41715281168248575
27,1.0,1.1157989474934042,4.284852399203409,2.1248206806807675
31,1.0,1.1521008508435935,1.0134973501918525,0.4264909300014564
37,1.0,2.5942764531128724,-8.47693091030895,0.39721136508554816
42,1.0,1.3148309621447167,1.0871956479283185,0.4026312264676463
47,1.0,1.3667105964669828,-9.724028374223558,0.41732789122894925
50,1.0,0.7846633668016918,1.082992078063027,0.4120236817210428
53,1.0,2.968838477697538,-32.490040178381236,0.3743470459882362
57,1.0,0.7982044824604734,0.9679024474241089,0.4048678577290017
63,1.0,0.8081654198764863,-8.322682384350003,7.239765494859828
65,1.0,2.157709275823137,-12.09800029618087,0.35680626695847173
69,1.0,0.8203263443194437,0.9001195997719904,0.38801361317483885
75,1.0,3.3777220620326607,0.9511533299507064,0.35878774824343757
79,1.0,0.8316878997602433,-7.626154798139545,0.4335892999957297
82,1.0,1.3189786566804047,1.0034961624763952,0.39934365417198237
87,1.0,0.8470372797896368,33.139109287498776,20.956508554007314
90,1.0,5.584432513103719,-37.58036816342865,12.553597890973991
94,1.0,-0.10617500316054407,3.937591666471576,1.8780762274433263
97,1.0,2.544293813357401,1.0266082734203934,0.4199778067421393
100,1.0,1.9725004599479943,-17.41686264092607,6.689718969262434
102,1.0,1.6179229589172335,-9.12231734906058,0.4246134515704538
106,1.0,1.4688963324235873,-22.573379255304687,0.409259081940539
109,1.0,1.1760508388100632,0.9234816921280498,0.4209950333614981
112,1.0,1.2295203388506115,1.0265885835630968,0.39597378744095446
123,1.0,1.136466748823446,4.0794474116666635,1.833819756325119
126,1.0,0.779561579854991,1.0079968158938044,0.40913388097963
129,1.0,0.7402920490213047,0.9149232491093358,0.3874331580477553
134,1.0,0.8726409524378435,1.0158621384620687,0.3596666954588932
137,1.0,1.172682673807123,0.9601763734386708,0.37588814745730653
141,1.0,0.8532435711541313,4.136166989170832,2.10182716746675
145,1.0,0.8724934017478536,4.23289682516355,1.9765928149316514
153,1.0,0.7387652995767594,0.9704599394461582,0.4102298726466008
156,1.0,1.204235649277373,1.0117102955197481,0.3838325696026999
159,1.0,0.8294282251030715,3.776323314223447,2.0621326306954697
165,1.0,0.860754386833664,18.06085436071865,12.367263637424431
167,1.0,0.7284103077439096,18.803327757612408,14.473405224548996
169,1.0,0.7839754036076869,-4.0,0.0
172,1.0,0.737042015178128,1.0984625692726055,0.4318502020705622
176,1.0,1.1085191658441111,0.9756510451542084,0.40601527836524093
179,1.0,1.1746224033768689,0.9502006901810418,0.3700364591462217
186,1.0,0.7920735352718228,-10.667075366762063,0.41637438622370376
191,1.0,1.4537231468273406,1.0409723635986836,0.42421069885800866
196,1.0,3.354927992352324,-7.449581351035945,1.8551529767280803
199,1.0,-0.06148454698617502,37.56632546930719,21.494973034312427
203,1.0,1.9079251168473643,0.9264075398325531,0.3800312433286986
208,1.0,1.1771644880902112,-8.331047626368836,6.3171626657943865
210,1.0,1.1423037397786198,0.9367630795674344,0.3576258269034491
216,1.0,2.1773175061327144,-9.811377659646269,0.4288680217836246
220,1.0,0.8739278933693025,1.0951259748838282,0.38436195731555783
225,1.0,3.0430341987232383,-24.12439294111627,0.3631167215832006
230,1.0,1.1239473379930756,0.9035462505674019,0.41284109840994976
233,1.0,1.1659005833539153,1.0097986340043832,0.4286532811093907
240,1.0,1.2062265276022763,-3.5,0.0
247,1.0,4.10630175152683,-8.855076697871368,0.3677617652175054
250,1.0,0.772576566173655,0.9990553617086562,0.40569691462598506
258,1.0,1.698178444296787,-32.45693941763943,0.3617238289273171
261,1.0,1.1306462309185956,1.0177567929672904,0.38791292211281386
264,1.0,1.1860847451644576,1.0750219721830376,0.3656216296678007
269,1.0,1.5111286501175667,0.9077808724800605,0.3607983792766835
274,1.0,1.4226237408339233,3.738459011316394,2.1058566611722553
278,1.0,1.6659312467963,1.039928895758024,0.38265236552068727
282,1.0,3.8801445555729916,6.682160589860473,14.588521904828816
284,1.0,0.9957737688190227,0.9744985610083603,0.35725579311129924
290,1.0,0.7818956384908885,0.9672623828122369,0.41690307583375547
294,1.0,0.7717414734416627,5.553050834933927,13.25739674065567
300,1.0,1.3471801622593418,1.0595954360758242,0.36481379494982114
308,1.0,0.8466389168662315,-9.573164673230437,6.254728173867657
310,1.0,0.7316023925571616,1.0662902222974253,0.4060554553435218
314,1.0,0.7171900063159322,6.2186735922677485,11.4973545825708
317,1.0,1.1878437817967922,3.7011996320423037,1.900336245774055
322,1.0,1.363927268243812,0.9401269160464665,0.4178653697124988
326,1.0,1.1839468497661283,1.0836386975196177,0.3649365525099311
333,1.0,0.7930011115238327,1.0911552322962592,0.3991490615723333
340,1.0,6.301889895996132,-15.794517320321944,0.3889079714385341
343,1.0,0.9285962514058496,0.9770477392799108,0.35674212022936846
351,1.0,2.0364042800785302,-8.03239888218421,6.624920724512866
353,1.0,0.9145488445985552,1.0932326441842264,0.39609184943838704
358,1.0,1.1641852719041241,0.9932388185368097,0.4341214614116869
361,1.0,1.7090018477908349,0.957634431646099,0.4010316404845297
365,1.0,0.7618704502414082,3.855776434975283,1.8088451480698102
